Colleges,Exam
Global Group of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
GCRG Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
Nitra Technical Campus,UPSEE - Uttar Pradesh State Entrance Examination
Ideal Institute of Management and Technology,UPSEE - Uttar Pradesh State Entrance Examination
HARDAYAL TECHNICAL CAMPUS,UPSEE - Uttar Pradesh State Entrance Examination
Shriram Institute of Technology,UPSEE - Uttar Pradesh State Entrance Examination
Lucknow Institute of Technology,UPSEE - Uttar Pradesh State Entrance Examination
HIET Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
Naraina Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
Bundelkhand Institute of Engineering & Technology,UPSEE - Uttar Pradesh State Entrance Examination
"United Institute of Technology (UIT), Allahabad",UPSEE - Uttar Pradesh State Entrance Examination
"Mahaveer Institute of Technology (MIT), Meerut",UPSEE - Uttar Pradesh State Entrance Examination
"Institute of Technology and Management (ITM), Gorakhpur",UPSEE - Uttar Pradesh State Entrance Examination
SRIMT Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
IPEC Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
IIMT Aligarh,UPSEE - Uttar Pradesh State Entrance Examination
"Uttar Pradesh Textile Technology Institute (UPTT), Kanpur",UPSEE - Uttar Pradesh State Entrance Examination
JMS Group of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
Doon Group Of Colleges,UPSEE - Uttar Pradesh State Entrance Examination
ITM Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
ITS Greater Noida,UPSEE - Uttar Pradesh State Entrance Examination
Gaya College,UPSEE - Uttar Pradesh State Entrance Examination
Maharana Pratap Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
BSACET Mathura,UPSEE - Uttar Pradesh State Entrance Examination
RVIT Bijnor,UPSEE - Uttar Pradesh State Entrance Examination
Skyline Institute of Engineering and Technology,UPSEE - Uttar Pradesh State Entrance Examination
Dewan V.S Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
SUYASH INSTITUTE OF INFORMATION TECHNOLOGY,UPSEE - Uttar Pradesh State Entrance Examination
Sunder Deep Group of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
RITM Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
Krishna Group of Institutions Kanpur,UPSEE - Uttar Pradesh State Entrance Examination
Babu Sunder Singh Institute Of Technology And Management,UPSEE - Uttar Pradesh State Entrance Examination
Faculty Of Engineering And Technology,UPSEE - Uttar Pradesh State Entrance Examination
"Apollo Institute of Technology (AIT), Kanpur",UPSEE - Uttar Pradesh State Entrance Examination
Neelkanth Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
"Adhunik Group of Institutions (ACE), Ghaziabad",UPSEE - Uttar Pradesh State Entrance Examination
Jahangirabad Institute of Technology,UPSEE - Uttar Pradesh State Entrance Examination
"ABSS Institute of Technology (ABSS), Meerut",UPSEE - Uttar Pradesh State Entrance Examination
Prasad Institute of Technology,UPSEE - Uttar Pradesh State Entrance Examination
"AXIS INSTITUTE OF TECHNOLOGY AND MANAGEMENT (AITM), Kanpur",UPSEE - Uttar Pradesh State Entrance Examination
DIET Meerut,UPSEE - Uttar Pradesh State Entrance Examination
JPIET Meerut,UPSEE - Uttar Pradesh State Entrance Examination
Rbmi Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
MODINAGAR INSTITUTE OF TECHNOLOGY,UPSEE - Uttar Pradesh State Entrance Examination
"Bansal Institute of Engineering & Technology (BIET), Lucknow",UPSEE - Uttar Pradesh State Entrance Examination
Shivdan Singh Institute of Technology & Management,UPSEE - Uttar Pradesh State Entrance Examination
MIIT Meerut,UPSEE - Uttar Pradesh State Entrance Examination
CERT Meerut,UPSEE - Uttar Pradesh State Entrance Examination
Vision Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
"Institute of Technology & Management (ITM), Meerut",UPSEE - Uttar Pradesh State Entrance Examination
"IILM Academy of Higher Learning (IILM), Greater Noida",UPSEE - Uttar Pradesh State Entrance Examination
"Apex Institute of Technology (AIT), Rampur",UPSEE - Uttar Pradesh State Entrance Examination
Shri Siddhi Vinayak Institute of Technology,UPSEE - Uttar Pradesh State Entrance Examination
Madhu Vachaspati Institute of Engineering and Technology,UPSEE - Uttar Pradesh State Entrance Examination
Saroj Educational Group,UPSEE - Uttar Pradesh State Entrance Examination
Dr. M C Saxena Group Of Colleges,UPSEE - Uttar Pradesh State Entrance Examination
Hygia Institute of Pharmaceutical Education and Research,UPSEE - Uttar Pradesh State Entrance Examination
Vishveshwarya Institute of Engineering & Technology,UPSEE - Uttar Pradesh State Entrance Examination
"Marathwada Institute of Technology (MIT), Bulandshahr",UPSEE - Uttar Pradesh State Entrance Examination
Maharana Institute of Professional Studies,UPSEE - Uttar Pradesh State Entrance Examination
Sachdeva Institute of Technology,UPSEE - Uttar Pradesh State Entrance Examination
Sarvottam Institute of Technology and Management,UPSEE - Uttar Pradesh State Entrance Examination
"Aryan Institute of Technology (AIT), Ghaziabad",UPSEE - Uttar Pradesh State Entrance Examination
IITM Kanpur,UPSEE - Uttar Pradesh State Entrance Examination
"Bhagwant Institute of Technology (BIT), Ghaziabad",UPSEE - Uttar Pradesh State Entrance Examination
MGIMT Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
Dr. K.N Modi Foundation,UPSEE - Uttar Pradesh State Entrance Examination
KALI CHARAN NIGAM INSTITUTE OF TECHNOLOGY,UPSEE - Uttar Pradesh State Entrance Examination
VITS Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
SPMIT Allahabad,UPSEE - Uttar Pradesh State Entrance Examination
MGMCET Noida,UPSEE - Uttar Pradesh State Entrance Examination
Translam Institute of Technology and Management,UPSEE - Uttar Pradesh State Entrance Examination
Shambhunath Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
Ram-Eesh Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
"Anand Engineering College (AEC), Agra",UPSEE - Uttar Pradesh State Entrance Examination
RRIMT Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
RIMT Bareilly,UPSEE - Uttar Pradesh State Entrance Examination
SR Group of Institution,UPSEE - Uttar Pradesh State Entrance Examination
Radha Govind Group of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
FIET Bareilly,UPSEE - Uttar Pradesh State Entrance Examination
Vidya Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
"Kite Group Of Institutions (KIIT), Meerut",UPSEE - Uttar Pradesh State Entrance Examination
K.P.Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
KAMAL INSTITUTE OF TECHNOLOGY,UPSEE - Uttar Pradesh State Entrance Examination
RDEC Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
Lucknow Model Institute of Technology and Management,UPSEE - Uttar Pradesh State Entrance Examination
HITM Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
NANDINI NAGAR TECHNICAL CAMPUS,UPSEE - Uttar Pradesh State Entrance Examination
CEST Lucknow,UPSEE - Uttar Pradesh State Entrance Examination
UCEM Allahabad,UPSEE - Uttar Pradesh State Entrance Examination
Brahmanand Institute of Research Technology and Management,UPSEE - Uttar Pradesh State Entrance Examination
Shri Jeet Ram Smarak Institute of Engineering & Technology,UPSEE - Uttar Pradesh State Entrance Examination
KITPS Moradabad,UPSEE - Uttar Pradesh State Entrance Examination
Ansal Technical Campus,UPSEE - Uttar Pradesh State Entrance Examination
Nikhil Institute of Engineering & Management,UPSEE - Uttar Pradesh State Entrance Examination
PEC Kanpur,UPSEE - Uttar Pradesh State Entrance Examination
Sunrise Institute of Engineering Technology and Management,UPSEE - Uttar Pradesh State Entrance Examination
Rajarshi Rananjay Sinh Institute of Management & Technology,UPSEE - Uttar Pradesh State Entrance Examination
"Maharaja Agarsain Institute of Technology (MAIT), Ghaziabad",UPSEE - Uttar Pradesh State Entrance Examination
PCCS Greater Noida,UPSEE - Uttar Pradesh State Entrance Examination
RKGEC Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
LKCE Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
GNCT Greater Noida,UPSEE - Uttar Pradesh State Entrance Examination
BBSCET Allahabad,UPSEE - Uttar Pradesh State Entrance Examination
ICE Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
H.M.F.A. Memorial Institute Of Engineering & Technology,UPSEE - Uttar Pradesh State Entrance Examination
Sanskriti Institute of Management & Technology,UPSEE - Uttar Pradesh State Entrance Examination
LDC GROUP OF INSTITUTIONS,UPSEE - Uttar Pradesh State Entrance Examination
Feroz Gandhi Institute Of Engineering & Technology,UPSEE - Uttar Pradesh State Entrance Examination
RCVGIT Ghaziabad,UPSEE - Uttar Pradesh State Entrance Examination
Dr. ZH Institute of Technology & Management,UPSEE - Uttar Pradesh State Entrance Examination
Shri Ramswaroop Memorial Group Colleges,UPSEE - Uttar Pradesh State Entrance Examination
Seth Sriniwas Agarwal Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
Goel Group of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
Devprayag Group Of Institutions,UPSEE - Uttar Pradesh State Entrance Examination
Cbs Group Of Colleges,UPSEE - Uttar Pradesh State Entrance Examination
Aligarh Group Of Colleges,UPSEE - Uttar Pradesh State Entrance Examination
"Acn College (ACNCEMS), Aligarh",UPSEE - Uttar Pradesh State Entrance Examination
KIPM College of Engineering & Technology Gorakhpur,UPSEE - Uttar Pradesh State Entrance Examination
SIR CHHOTU RAM INSTITUTE OF ENGINEERING & TECHNOLOGY CCS UNIVERSITY MEERUT,UPSEE - Uttar Pradesh State Entrance Examination
"RAJKIYA ENGINEERING COLLEGE, BANDA",UPSEE - Uttar Pradesh State Entrance Examination
"RAJKIYA ENGINEERING COLLEGE, AMBEDKAR NAGAR",UPSEE - Uttar Pradesh State Entrance Examination
RAJKIYA ENGINEERING COLLEGE,UPSEE - Uttar Pradesh State Entrance Examination
"Government Engineering College (GEC), Gorakhpur",UPSEE - Uttar Pradesh State Entrance Examination
Sri Ragavendra Polytechnic College,UPSEE - Uttar Pradesh State Entrance Examination
Divya Jyoti College of Engineering and Technology,UPSEE - Uttar Pradesh State Entrance Examination
ANA College of Engineering and Management studies,UPSEE - Uttar Pradesh State Entrance Examination
Bahubali College of Engineering,UPSEE - Uttar Pradesh State Entrance Examination
Vira College of Engineering Bijnor,UPSEE - Uttar Pradesh State Entrance Examination
IMS Engineering College,UPSEE - Uttar Pradesh State Entrance Examination
Mass College of Engineering and Management Hathras,UPSEE - Uttar Pradesh State Entrance Examination
"Ace College of Engineering and Management (ACEM), Agra",UPSEE - Uttar Pradesh State Entrance Examination
"Aryabhatt College of Engineering & Technology (ACET), Ghaziabad",UPSEE - Uttar Pradesh State Entrance Examination
Eshan college of Engineering,UPSEE - Uttar Pradesh State Entrance Examination
Dr. K. N. Modi Engineering College,UPSEE - Uttar Pradesh State Entrance Examination
D.N.S. College of Engineering and Technology,UPSEE - Uttar Pradesh State Entrance Examination
B.N. College Of Engineering & Technology,UPSEE - Uttar Pradesh State Entrance Examination
"BU, Jhansi",UPSEE - Uttar Pradesh State Entrance Examination
Chaitanya Group Of Colleges,UPSEE - Uttar Pradesh State Entrance Examination
"Veer Bahadur Singh Purvanchal University
                        (VBSPU)
                        , Jaunpur",UPSEE - Uttar Pradesh State Entrance Examination
"Government Dental College (GDC), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Global Institute of Management Science,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
MSRIT,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BMS College of Engineering Bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RV College of Engineering,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Siddaganga Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
PES University,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
New Horizon Educational Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
NMAM Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"CMR Institute of Technology (CMRIT), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
NIE Mysore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BMSIT bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Bangalore Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Global Academy of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RNS Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Atria Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RRCE bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
PDACE Gulbarga,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SJCE Mysore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Adichunchanagiri Institute of Technology (AIT), Chikmagalur",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SCE bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
MCE Hassan,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
East West Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KLS Gogte Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BNM Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Sai Vidya Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Garden City University,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Vemana Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Maharaja Institute of Technology (MIT), Mysuru",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Sri Siddhartha Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SJB Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Acharya Institutes (AI, Ai Bangalore), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BEC Bagalkot,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"AIMS Institutes Bangalore (AIMS,AIMS Bangalore), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
PESITM Shimoga,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KLE Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
GSSS Mysore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
JSSATE Bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Rajiv Gandhi Institute of Technology (RGIT), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Akshaya Institute of Technology (AIT), Tumkur",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
GMIT Davangere,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RYMEC Bellary,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Rajeev Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
S.J.C. Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KS Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Kalpataru Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
T John Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BITM Bellary,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
JNNCE Shimoga,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
NCET bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BTL Institute of Technology and Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Channabasaveshwara Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Bheemanna Khandre Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Government Engineering College (GECH), Hassan",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SJEC Mangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
City Group Of Colleges,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Surana College,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
HMS Institute Of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
MITE Mangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Srinivas Group Of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
UVCE bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"M.S. Engineering College (MSEC), Bengaluru",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dayananda Sagar Academy of Technology and Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RV Institute of Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dr. T. Thimmaiah Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Sri Revana Siddeshwara Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Hirasugar Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Guru Nanak Dev Engineering College (GNDEC), Bidar",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Padmashree Group Of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
C Byregowda Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SJM Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BGS Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Appa Institute of Engineering and Technology (AIET), Gulbarga",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Sri Taralabalu Jagadguru Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Brindavan College of Engineering,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Cambridge Institute of Technology, Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Rr Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Proudadevaraya Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Bandari Srinivas Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Alpha College of Engineering (ACE), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
APSCE bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
PACE Mangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Karavali Group Of Colleges,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SCEM Mangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dayananda Sagar College of Engineering,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
East Point Group Of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
K.S Group Of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SKSJTI bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SECAB Institute of Engineering & Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Ekalavya Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Jain Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Jnana Vikas Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Vidya Vikas Group Of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KLE Group of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
MP Birla Institute of Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Alva's Institute of Engineering & Technology (AIET), Mangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Moodlakatte Institute Of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Adarsh Institute of Management and Information Technology (AIMIT), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
T. John Group of Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"A. G. M. R. College of Engineering & Technology (AGMRCET), Hubli",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"IBMR Business School (IBMR), Hubli",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
The Oxford Institutions,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Shree Devi Group Of Colleges,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"St Aloysius Institute of Management and Information Technology (AIMIT), Mangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
JNC bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Navodaya Educational Trust, Navodaya Group of Institutions",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
MVJ College of Engineering bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
B.L.D.E.A'S Group Of Colleges,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Seshadripuram Institute of Management Studies,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KCM bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dr. Ambedkar Institute of Management Studies,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Lingaraj Appa Engineering College,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
University B.D.T. college of Engineering Davangere,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Veerappa Nisty Engineering College,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
CMR Center for Business Studies,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dr. Sri. Sri. Sri. Shivakumara Mahaswamy College of Engineering,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
ATME College of Engineering,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Maratha Mandal Engineering College,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
GBS Hubli,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SSIMS Tumkur,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BVVS Bagalkot,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Poornaprajna Institute of Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SDM College of Engineering and Technology Dharwar,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Karnataka Law Society's Viswanathrao Deshpande Rural Institute Of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Ghousia College of Engineering,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
HKBK bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Doddappa Appa Institute of MBA,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RS College of Management & Science,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
AMC bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
AMCEC bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Government Ramanarayana Chellaram College of Commerce & Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SBRR Mahajana First Grade College,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KNS Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dr. Ambedkar Institute of Technology,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
East West College of Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KVGCE Sullia,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Doddappa Appa Institute of MCA,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SIT Mangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Dayananda Sagar College of Art Science & Commerce,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"KLE Society's S Nijalingappa College, KLE bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Mount Carmel College, Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BVB Hubli,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Maharani s Science College for Women,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
University of Mysore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
St. Aloyosius Group Of Colleges,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
AJIM Mangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Annapoorna Institute of Management Research,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Bapuji Academy of Management and Research,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
IEMS Hubli,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Nandi Institute of Technology and Management Sciences,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
GCEM bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Allum Karibasappa Institute of Management,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Presidency College (Autonomous),Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Al-Ameen Institute Of Management Studies (AIMS), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
SLNCE Raichur,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Dr Ambedkar Institute of Technology
                        (DAIT)
                        , Bengaluru",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Aakash Institute of Business Management (AIBM), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Amruta Institute Of Engineering & Management Sciences (AIEMS), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
MSRCASC bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Vidyavardhaka College of Engineering Mysuru,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Adept Institute Of Management Studies & Research (AIMSR), Bangalore",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
IASMS bangalore,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
DVH IMSR,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
BLDEA's A.S.P. College of Commerce,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
KLS Institute of Management Education & Research,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
RJS Institute of Mangement Studies,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
R.R. Institute of Advanced Studies,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Adarsha Vidya Kendra First Grade College,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Sri Gokula College of Arts, Science & Management Studies",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
K.L.E.Society's Institute of Management Studies & Research,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
"Maharani`s Arts, Commerce and Management College for Women",Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
Gt Educational Institutes,Karnataka PGCET - Karnataka Post Graduate Common Entrance Test
JSSATE Noida,UPSEE
IERT Allahabad,UPSEE
RV College of Engineering,UPSEE
NIET Greater Noida,UPSEE
SREC Coimbatore,UPSEE
GCET Greater Noida,UPSEE
BBDNITM Lucknow,UPSEE
"ABES Engineering College (ABES), Ghaziabad",UPSEE
IIMT University,UPSEE
PSIT Kanpur,UPSEE
"Institute of Engineering and Technology (IET), Lucknow",UPSEE
HBTU Kanpur,UPSEE
AKGEC Ghaziabad,UPSEE
KCC Institute of Technology & Management,UPSEE
IIT Allahabad,UPSEE
SR Group of Institution,UPSEE
G.L. Bajaj Institute of Technology and Management,UPSEE
KNIT Sultanpur,UPSEE
SRMSCET Bareilly,UPSEE
"IIMT College of Engineering (IIMT), Greater Noida",UPSEE
"Ashoka Institute of Technology and Management (AITM), Varanasi",UPSEE
Buddha Institute of Technology,UPSEE
GNIOT Greater Noida,UPSEE
